nazione,anno,stipendio_medio_annuo
AL,2018,4864.0
AT,2018,48549.0
BE,2018,49160.0
BG,2018,8256.0
CH,2018,83413.0
CY,2018,26172.0
CZ,2018,16784.0
DE,2018,49953.0
DK,2018,64568.0
EE,2018,17094.0
EL,2018,22552.0
ES,2018,29994.0
FI,2018,46071.0
FR,2018,38747.0
HR,2018,14716.0
HU,2018,13539.0
IE,2018,49790.0
IS,2018,68633.0
IT,2018,36671.0
LT,2018,11943.0
LU,2018,64641.0
LV,2018,14057.0
MK,2018,7363.0
MT,2018,27047.0
NL,2018,51826.0
NO,2018,48609.0
PL,2018,13847.0
PT,2018,18236.0
RO,2018,11906.0
RS,2018,8100.0
SE,2018,43425.0
SI,2018,24669.0
SK,2018,15159.0
TR,2018,9129.0
UK,2018,42744.0
AL,2022,7233.0
AT,2022,54296.0
BA,2022,11395.0
BE,2022,54959.0
BG,2022,12760.0
CH,2022,102507.0
CY,2022,30411.0
CZ,2022,22414.0
DE,2022,55648.0
DK,2022,71798.0
EA19,2022,43902.0
EA20,2022,43544.0
EE,2022,22858.0
EL,2022,25558.0
ES,2022,32814.0
EU27_2020,2022,39034.0
FI,2022,51036.0
FR,2022,40603.0
HR,2022,16804.0
HU,2022,16825.0
IE,2022,57116.0
IS,2022,74436.0
IT,2022,38665.0
LT,2022,22673.0
LU,2022,73637.0
LV,2022,18202.0
MT,2022,31571.0
NL,2022,59527.0
NO,2022,69144.0
PL,2022,17484.0
PT,2022,23152.0
RO,2022,16575.0
RS,2022,11638.0
SE,2022,46756.0
SI,2022,30082.0
SK,2022,19527.0